ID,Photo,Title,Brand,Price,URL,Currency,Item_Date,Colors,Materials,Styles,Categories
5342594289,https://images1.vinted.net/t/04_00fe4_Pyfv9LkVeGPoKWVKhGi1HGFQ/f800/1730978948.jpeg?s=e86c637a7e8a92c0a6b15577c279d1bc6b5209cf,"Einteiliger Pyjama von Old Navy by GAP, Größe 56, 0-3 Monate",Old Navy,3.5,https://www.vinted.de/items/5342594289-einteiliger-pyjama-von-old-navy-by-gap-grosse-56-0-3-monate,EUR,2024-10-31,,,,
5342594180,https://images1.vinted.net/t/03_014c0_x2kupvSb5FVWD2zLXsgSy275/f800/1730978947.jpeg?s=bf07829199ad7ec537a9056eafda2438588be374,"Levis Herrenjeans Modell 511, L 34, W 33",Levi's,10.0,https://www.vinted.de/items/5342594180-levis-herrenjeans-modell-511-l-34-w-33,EUR,2024-10-31,,,,
5342593965,https://images1.vinted.net/t/04_01be2_LYfnDT4SQEFktCfdDfzejXV9/f800/1730978944.jpeg?s=298a7e2b06be87742891352b1901de72486148d0,Langarm Shirt,The North Face,10.0,https://www.vinted.de/items/5342593965-langarm-shirt,EUR,2024-10-31,,,,
5342594093,https://images1.vinted.net/t/02_00aa6_RKz5dBZKkm88EQH95kfPjEwh/f800/1730978946.jpeg?s=c9c9991538317ef69e17c6fa230bfce81cde3d78,Tommy Hilfiger Pullover pulli neu,Tommy Hilfiger,59.0,https://www.vinted.de/items/5342594093-tommy-hilfiger-pullover-pulli-neu,EUR,2024-10-31,,,,
5342593988,https://images1.vinted.net/t/04_01a61_ScUAUvsPmyhmu8nEHxuXavGJ/f800/1730978945.jpeg?s=625821611a3cca72023a8bb812ba5b027ff0c957,Jacke,Baby Club,2.0,https://www.vinted.de/items/5342593988-jacke,EUR,2024-10-31,,,,
5342594127,https://images1.vinted.net/t/04_00880_Kp9aY5REB9o19XjVDLKjWcKm/f800/1730978946.jpeg?s=718a202a788bd77da84c7cf605e2e55c7fc80d6d,Herren Tshirt M von S. Oliver,Oliver,3.0,https://www.vinted.de/items/5342594127-herren-tshirt-m-von-s-oliver,EUR,2024-10-31,,,,
5342593983,https://images1.vinted.net/t/04_00140_86EUCn3Rg5MK67Z9VhA4gjUZ/f800/1730978944.jpeg?s=8e987c5021c564b7b3516b64e101445d75dfe3aa,Hot wheels,Hot Wheels,3.0,https://www.vinted.de/items/5342593983-hot-wheels,EUR,2024-10-31,,,,
5342594101,https://images1.vinted.net/t/04_006a5_cR72UL8GHh8PcaGnEk9QWiUd/f800/1730978946.jpeg?s=11be7a2c1ee1ec1b18806cae74429140ea43e03b,MidiKleid,Mango,6.0,https://www.vinted.de/items/5342594101-midikleid,EUR,2024-10-31,,,,
5342593862,https://images1.vinted.net/t/03_002c5_GzutHSQYE8NzJyGRprbR1ov9/f800/1730978943.jpeg?s=e3dd572b82a7cb5875ee533057264f32e10e9955,Schönes Puppenbett,Sonstiges,20.0,https://www.vinted.de/items/5342593862-schones-puppenbett,EUR,2024-10-31,,,,
5342593977,https://images1.vinted.net/t/03_014d2_UYnYuCnvTaD6VENP9DQTpRYY/f800/1730978944.jpeg?s=6492314f92eec5aa01d8b2e15820c82e10c4728b,Kaktus Kleid,Kiki & Koko,2.5,https://www.vinted.de/items/5342593977-kaktus-kleid,EUR,2024-10-31,,,,
5342594003,https://images1.vinted.net/t/04_01ec3_KxkB61eBgpH36moWCinNzKgs/f800/1730978945.jpeg?s=78b5e4a1291baaf1debbb3ebd8be5ab7395c2961,Strumpfhosen,,1.5,https://www.vinted.de/items/5342594003-strumpfhosen,EUR,2024-10-31,,,,
5342593362,https://images1.vinted.net/t/04_0161a_9GshjrD1QxLLVrbEWEHiAWE5/f800/1730978938.jpeg?s=3885b43967203e72a5ebb68115dd4a714e9cb9e9,Top3 Top3,Top3,18.0,https://www.vinted.de/items/5342593362-top3-top3,EUR,2024-10-31,,,,
5342593674,https://images1.vinted.net/t/04_00c50_NGohXYjmvufv7b244vPAJ325/f800/1730978941.jpeg?s=05868ed17a72a106d8dbe5f051a9acee79d0230a,Primigi Winterstiefel,Primigi,15.0,https://www.vinted.de/items/5342593674-primigi-winterstiefel,EUR,2024-10-31,,,,
5342594011,https://images1.vinted.net/t/04_01148_VPjrS7ge3pPg9gDV7AU9qhty/f800/1730978945.jpeg?s=11e6fb90fe9abc7735199d483f7906fd7194bd58,Chaps Gr. Kinder xs,Steeds,9.0,https://www.vinted.de/items/5342594011-chaps-gr-kinder-xs,EUR,2024-10-31,,,,
5342593834,https://images1.vinted.net/t/04_02442_aZnVSqTvDgu6q3DmCnnsgyCN/f800/1730978943.jpeg?s=de6b1af7f328a9af1613c6de73369ff139b640fd,LeSpecs Sonnenbrille,Le Specs,45.0,https://www.vinted.de/items/5342593834-lespecs-sonnenbrille,EUR,2024-10-31,,,,
5342593871,https://images1.vinted.net/t/04_02671_C2A1qMjwunExSpJx1CdRaKPQ/f800/1730978943.jpeg?s=70677b62dc89f1ea18fbc458f1719f30d04c730c,Schöner Mantel,Trendyol,12.0,https://www.vinted.de/items/5342593871-schoner-mantel,EUR,2024-10-31,,,,
5342593739,https://images1.vinted.net/t/04_018db_Vmg32NhihZLbsMgGNTKNtm7T/f800/1730978942.jpeg?s=1358194211b6f6a4b597e7fac7bf971e8ba4057b,"Jeansjacke, helle Waschung, blau",ASOS,20.0,https://www.vinted.de/items/5342593739-jeansjacke-helle-waschung-blau,EUR,2024-10-31,,,,
5342593863,https://images1.vinted.net/t/04_02553_msQ3c1ajTbNE8fi1u8V8Scsn/f800/1730978943.jpeg?s=e776bb1a8f960c408f3eaaf7d65f77c9353bd9d4,Khaki baggy Cargo Hose,H&M,5.0,https://www.vinted.de/items/5342593863-khaki-baggy-cargo-hose,EUR,2024-10-31,,,,
5342593901,https://images1.vinted.net/t/04_019b6_vcEqdFnfg7YJjihYK9UpJV6a/f800/1730978944.jpeg?s=b6127750a2c213453004a3d5c131929d48a6fafd,Vintage Strick Oberteil Türkis,Vintage,3.0,https://www.vinted.de/items/5342593901-vintage-strick-oberteil-turkis,EUR,2024-10-31,,,,
5342593733,https://images1.vinted.net/t/04_0073b_nC4w6UMSYpmDE4VJbnkdGzY4/f800/1730978942.jpeg?s=6485df7881b4d2367600ec7eaa7506d2755ceabe,Hörbuch Endlich von Idilko von Kürthy,,5.0,https://www.vinted.de/items/5342593733-horbuch-endlich-von-idilko-von-kurthy,EUR,2024-10-31,,,,
5342593972,https://images1.vinted.net/t/04_0077a_EQuFfrnKbMghCN6dxBGqne6t/f800/1730978944.jpeg?s=4f65ee77c55a84899f049f75f05df82d19ab3266,Rippleggings Set,Handarbeit,10.0,https://www.vinted.de/items/5342593972-rippleggings-set,EUR,2024-10-31,,,,
5342593620,https://images1.vinted.net/t/04_00450_snMqSS91QjPrLsBAB6WhSyDT/f800/1730978941.jpeg?s=dd8a0b4de0e4516310f9e56021f0d44a58684a08,Adidas 2-Teiler Gr. 98,adidas,7.0,https://www.vinted.de/items/5342593620-adidas-2-teiler-gr-98,EUR,2024-10-31,,,,
5342593811,https://images1.vinted.net/t/01_00309_WPfx7SGzh9TjEsd4Nb3PHJ25/f800/1730978943.jpeg?s=fd1bf75c4404274b7257db7f988eeea3a9d7b05c,Pixi Bücher 3 Stück neu,,1.49,https://www.vinted.de/items/5342593811-pixi-bucher-3-stuck-neu,EUR,2024-10-31,,,,
5342593658,https://images1.vinted.net/t/04_00209_9Kxv1mEejnCQytmncEPpMVFR/f800/1730978941.jpeg?s=d75aa0c733c22c2dfcae94e37b599cebb4f67b96,Hemd mintgrün,Zara,7.0,https://www.vinted.de/items/5342593658-hemd-mintgrun,EUR,2024-10-31,,,,
5342593656,https://images1.vinted.net/t/04_021d6_3eXx1TKG95Ew4L78EvGURABM/f800/1730978941.jpeg?s=5fa0166e71daa349a533deb379037f4284417c2f,Palace multi font knit jumper,Palace,60.0,https://www.vinted.de/items/5342593656-palace-multi-font-knit-jumper,EUR,2024-10-31,,,,
