ID,Photo,Title,Brand,Price,URL,Item_Date,Colors,Materials,Styles,Categories
5300545954,https://images1.vinted.net/t/04_0101f_WXQPPoDRVjgoXpntHHtxydgs/f800/1730243126.jpeg?s=5e59ba5ca7fb1853141fce443e0ab6df8136b775,Carhartt kaputten Pulli 40€ inkl. Versand,Carhartt,33.0,https://www.vinted.de/items/5300545954-carhartt-kaputten-pulli-40eu-inkl-versand,2023-10-31,,,,
5300545912,https://images1.vinted.net/t/01_0135d_puYinZfyE9yetcx7yJKFjPp6/f800/1730243124.jpeg?s=dc95bf72c865a36c45d462869e0d7fe2f282f7ee,Washed out denim jeans,Bershka,12.0,https://www.vinted.de/items/5300545912-washed-out-denim-jeans,2023-10-31,,,,
5300545908,https://images1.vinted.net/t/04_012e1_L6j2GKZ3gg6q4uyuS3usvEDQ/f800/1730243124.jpeg?s=88d983a42d9ab13d450cd954189182081c2130dc,Bluse Damen,Shein,6.0,https://www.vinted.de/items/5300545908-bluse-damen,2023-10-31,,,,
5300545858,https://images1.vinted.net/t/04_01677_ieVqtiQXyfW9CQjCnpaLfRYn/f800/1730243123.jpeg?s=789ed86997b4066d294590c67ecfbea96b3f4228,Nike Air Force All White,Nike,49.4,https://www.vinted.de/items/5300545858-nike-air-force-all-white,2023-10-31,White,Leather,Casual Sporty,Shoes
5300545844,https://images1.vinted.net/t/04_00bfa_e5DhGPDX4hjn3WjsG7Cw5ceb/f800/1730243122.jpeg?s=23d19b178647b8653f413138e7a85e8e1590edff,Dunkelgraues Top,Frau Huegel,8.0,https://www.vinted.de/items/5300545844-dunkelgraues-top,2023-10-31,,,,
5300545752,https://images1.vinted.net/t/04_01c0b_ghCqQ2kzWnYq6xGiF56FJX2E/f800/1730243118.jpeg?s=e71d8aaf8a6d2872fda48e640b8f26634c3f9f23,Sportleggins Gr. 122,Ergee,1.0,https://www.vinted.de/items/5300545752-sportleggins-gr-122,2023-10-31,,,,
5300545755,https://images1.vinted.net/t/03_0255d_v3DBg9QbDjX4FKd7QkXUwrWE/f800/1730243118.jpeg?s=47d6ab5bc0e5c798c91cb1a2e72f9f2a0a054347,Schöne Ohrhänger,Bijou Brigitte,2.5,https://www.vinted.de/items/5300545755-schone-ohrhanger,2023-10-31,,,,
5300545774,https://images1.vinted.net/t/04_01041_tvX2KfToUUENahZGgaiitiW1/f800/1730243119.jpeg?s=d69d8103953a60c15a5ad105798697a7d0fcfec9,Tshirt Beige Champion Damen Herren Größe M,Champion,5.0,https://www.vinted.de/items/5300545774-tshirt-beige-champion-damen-herren-grosse-m,2023-10-31,,,,
5300545772,https://images1.vinted.net/t/04_00aa5_MsD32R82P7y8Bf3BgZYBJEPV/f800/1730243119.jpeg?s=58fe5d9f842c524a49ff97f350832739becdf4b6,Kurze Jeans,Stradivarius,8.0,https://www.vinted.de/items/5300545772-kurze-jeans,2023-10-31,,,,
5300545722,https://images1.vinted.net/t/04_0064c_tFVw4g3PtUhRd7c3mhGMcJ4e/f800/1730243116.jpeg?s=56e29461b8ec615c9cf9145e0b96b6323d10ae7e,Geblümter Bikini,Sonstiges,2.0,https://www.vinted.de/items/5300545722-geblumter-bikini,2023-10-31,,,,
